Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,3329.4300000000003,3.309598207473755,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,30,2,3,1560,320,10
Method 3,11,3658.05,3.0755019187927246,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,30,2,3,1560,320,11
Method 3,12,3984.38,3.198007106781006,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,30,2,3,1560,320,12
Method 3,13,4220.9400000000005,2.8882765769958496,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,30,2,3,1560,320,13
Method 3,14,4537.650000000001,3.2021126747131348,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,30,2,3,1560,320,14
Method 3,15,4816.01,3.3378376960754395,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,30,2,3,1560,320,15
Method 3,16,5132.67,3.5584189891815186,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,30,2,3,1560,320,16
Method 3,17,5425.32,3.6868362426757812,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,30,2,3,1560,320,17
Method 3,18,5685.969999999999,3.780662775039673,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,30,2,3,1560,320,18
Method 3,19,5908.349999999999,3.9775490760803223,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,30,2,3,1560,320,19
Method 3,20,6164.969999999999,3.919522285461426,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,30,2,3,1560,320,20
Method 3,21,6475.369999999999,4.237871408462524,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,30,2,3,1560,320,21
Method 3,22,6779.769999999999,4.307104110717773,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,30,2,3,1560,320,22
Method 3,23,6994.019999999999,4.597180604934692,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,30,2,3,1560,320,23
Method 3,24,7280.279999999999,12.123406648635864,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,30,2,3,1560,320,24
Method 3,25,7466.959999999999,8.94710922241211,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,30,2,3,1560,320,25
Method 3,26,7767.389999999999,10.081976413726807,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,30,2,3,1560,320,26
